operation,type,manufacturer,engine_type,engines,year_manufacturing,seating,fatalities
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2008,2,2
OPERADOR PARTICULAR,AVIÃO,NORTH AMERICAN,PISTÃO,MONOMOTOR,1955,2,2
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,TURBOÉLICE,BIMOTOR,2002,8,1
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,2008,6,2
ÓRGÃO PÚBLICO,HELICÓPTERO,AGUSTA,TURBOEIXO,MONOMOTOR,2010,8,8
AEROCLUBE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1979,4,2
AEROCLUBE,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1975,4,1
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,0,4,1
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2007,2,2
OPERADOR PARTICULAR,ULTRALEVE,FABRICACAO PROPRIA,PISTÃO,MONOMOTOR,0,0,2
OPERADOR DE AERONAVE,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,1973,3,0
OPERADOR PARTICULAR,AVIÃO,HAWKER BEECHCRAFT,TURBOÉLICE,BIMOTOR,2008,11,8
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1976,4,2
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1977,4,0
OPERADOR PARTICULAR,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,MONOMOTOR,2009,6,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1998,4,1
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2007,2,1
OPERADOR PARTICULAR,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,MONOMOTOR,2012,7,1
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1980,6,2
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1974,6,1
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1979,6,3
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1981,6,6
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1977,1,0
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2008,2,1
OPERADOR PARTICULAR,AVIÃO,JULIO CESAR MANDELLI,PISTÃO,MONOMOTOR,2010,3,2
ESCOLA DE AVIAÇÃO,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,1994,2,2
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1973,4,0
ESCOLA DE AVIAÇÃO,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1966,1,1
OPERADOR PARTICULAR,ULTRALEVE,MAULE AIRCRAFT,PISTÃO,MONOMOTOR,0,0,1
OPERADOR PARTICULAR,ULTRALEVE,MAULE AIRCRAFT,PISTÃO,MONOMOTOR,0,0,1
OPERADOR PARTICULAR,ULTRALEVE,MAULE AIRCRAFT,PISTÃO,MONOMOTOR,0,0,1
ESCOLA DE AVIAÇÃO,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,2001,4,2
OPERADOR PARTICULAR,AVIÃO,CLAIBER VIEIRA BORGES,PISTÃO,MONOMOTOR,2012,2,2
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1962,4,4
OPERADOR DE AERONAVE,HELICÓPTERO,BELL HELICOPTER,TURBOEIXO,MONOMOTOR,2008,5,1
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,MONOMOTOR,2012,1,1
OPERADOR PARTICULAR,HELICÓPTERO,ROBINSON HELICOPTER,TURBOEIXO,MONOMOTOR,2011,5,2
OPERADOR PARTICULAR,AVIÃO,CIRRUS DESIGN,PISTÃO,MONOMOTOR,2008,4,0
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1994,1,1
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,TURBOÉLICE,BIMOTOR,2001,8,5
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1984,1,1
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,TURBOÉLICE,MONOMOTOR,1995,11,0
OPERADOR PARTICULAR,AVIÃO,CIRRUS DESIGN,PISTÃO,MONOMOTOR,2007,4,2
OPERADOR PARTICULAR,AVIÃO,AIR TRACTOR,TURBOÉLICE,MONOMOTOR,2012,1,0
OPERADOR PARTICULAR,AVIÃO,CHELBER VICENTINI LILISCHKIES,PISTÃO,MONOMOTOR,2011,2,2
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2004,2,1
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2008,2,2
OPERADOR PARTICULAR,AVIÃO,AEROCENTRO AERONAVES,PISTÃO,MONOMOTOR,2013,4,1
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1980,6,1
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1980,1,1
OPERADOR PARTICULAR,AVIÃO,AIR TRACTOR,TURBOÉLICE,MONOMOTOR,2012,1,1
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1975,1,0
AEROCLUBE,AVIÃO,PIPER AIRCRAFT,PISTÃO,MONOMOTOR,1954,4,0
OPERADOR DE AERONAVE,AVIÃO,AIR TRACTOR,TURBOÉLICE,MONOMOTOR,2012,1,0
OPERADOR PARTICULAR,AVIÃO,RAYTHEON AIRCRAFT,PISTÃO,BIMOTOR,1975,6,6
OPERADOR PARTICULAR,AVIÃO,HAWKER BEECHCRAFT,PISTÃO,MONOMOTOR,2006,6,2
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,1982,6,4
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1980,4,1
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1973,6,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,MONOMOTOR,1974,6,0
OPERADOR PARTICULAR,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,2007,6,3
OPERADOR DE AERONAVE,HELICÓPTERO,MD HELICOPTERS,TURBOEIXO,MONOMOTOR,2007,7,0
